path,team,score
fan/maillots-fan (21).jpeg,Bahamas,0.3397935926914215
fan/maillots-fan (210).jpeg,Borussia Dortmund (BVB),0.3651278018951416
fan/maillots-fan (211).jpeg,Al-Ittihad Club (Jeddah),0.32611018419265747
fan/maillots-fan (212).jpeg,Borussia Dortmund (BVB),0.3651278018951416
fan/maillots-fan (213).jpeg,Barcelona,0.36176005005836487
fan/maillots-fan (214).jpeg,Sport Club Corinthians Paulista,0.3666294515132904
fan/maillots-fan (215).jpeg,Argentina,0.37871596217155457
fan/maillots-fan (216).jpeg,Celtic FC,0.370339572429657
fan/maillots-fan (217).jpeg,Paços de Ferreira,0.34178540110588074
fan/maillots-fan (218).jpeg,Italie,0.37922203540802
fan/maillots-fan (219).jpeg,North Macedonia,0.35276633501052856
fan/maillots-fan (22).jpeg,Celtic FC,0.3687792718410492
fan/maillots-fan (220).jpeg,Bordeaux,0.3723257780075073
fan/maillots-fan (221).jpeg,Vasco da Gama,0.3617468774318695
fan/maillots-fan (222).jpeg,Real Madrid,0.3441818952560425
fan/maillots-fan (223).jpeg,Fenerbahçe,0.3574948012828827
fan/maillots-fan (224).jpeg,Chelsea FC,0.3651675879955292
fan/maillots-fan (225).jpeg,Fenerbahçe,0.3574948012828827
fan/maillots-fan (226).jpeg,Japan,0.3179676830768585
fan/maillots-fan (227).jpeg,Japan,0.3744974136352539
fan/maillots-fan (228).jpeg,SC Heerenveen,0.3691841959953308
fan/maillots-fan (229).jpeg,Al-Ittihad Club (Jeddah),0.35351279377937317
fan/maillots-fan (23).jpeg,Republique techque,0.3066740036010742
fan/maillots-fan (230).jpeg,Bordeaux,0.3723257780075073
fan/maillots-fan (231).jpeg,São Paulo FC,0.35527968406677246
fan/maillots-fan (232).jpeg,Barcelona,0.3554573655128479
fan/maillots-fan (233).jpeg,AS Roma,0.35957640409469604
fan/maillots-fan (234).jpeg,Netherlands,0.3752027153968811
fan/maillots-fan (235).jpeg,Oman,0.35057175159454346
fan/maillots-fan (236).jpeg,Benfica,0.35081255435943604
fan/maillots-fan (237).jpeg,Saint Etienne,0.40079259872436523
fan/maillots-fan (238).jpeg,Benfica,0.35081255435943604
fan/maillots-fan (239).jpeg,Japan,0.3835233449935913
fan/maillots-fan (24).jpeg,Real Madrid,0.3481857180595398
fan/maillots-fan (240).jpeg,Cruz Azul,0.44032689929008484
fan/maillots-fan (241).jpeg,United Arab Emirates,0.36598896980285645
fan/maillots-fan (242).jpeg,AC Milan,0.3632466197013855
fan/maillots-fan (243).jpeg,Inter Miami CF,0.3543550670146942
fan/maillots-fan (244).jpeg,Cameroon,0.3693438470363617
fan/maillots-fan (245).jpeg,Real Madrid,0.3520444929599762
fan/maillots-fan (246).jpeg,Arsenal FC,0.34878841042518616
fan/maillots-fan (247).jpeg,Juventus FC,0.3586988151073456
fan/maillots-fan (248).jpeg,Burkina Faso,0.37038832902908325
fan/maillots-fan (249).jpeg,Racing Club (Argentina),0.39046430587768555
fan/maillots-fan (25).jpeg,New York City FC,0.3410979211330414
fan/maillots-fan (250).jpeg,CR Flamengo,0.4126015305519104
fan/maillots-fan (251).jpeg,Racing Club (Argentina),0.39046430587768555
fan/maillots-fan (252).jpeg,China,0.3447575867176056
fan/maillots-fan (253).jpeg,Santos,0.3487880825996399
fan/maillots-fan (254).jpeg,Om,0.3068695664405823
fan/maillots-fan (255).jpeg,Pakistan,0.3321119546890259
fan/maillots-fan (256).jpeg,Barcelona,0.3607826232910156
fan/maillots-fan (257).jpeg,Argentina,0.38041287660598755
fan/maillots-fan (258).jpeg,FC Barcelone,0.35675665736198425
fan/maillots-fan (259).jpeg,Paris Saint-Germain,0.35095611214637756
fan/maillots-fan (26).jpeg,Manchester United,0.35380151867866516
fan/maillots-fan (260).jpeg,Flamengo,0.37043964862823486
fan/maillots-fan (261).jpeg,Republique techque,0.3084472417831421
fan/maillots-fan (262).jpeg,Borussia Dortmund (BVB),0.32793381810188293
fan/maillots-fan (263).jpeg,Beşiktaş JK,0.32613644003868103
fan/maillots-fan (264).jpeg,Borussia Dortmund (BVB),0.32793381810188293
fan/maillots-fan (265).jpeg,Albania,0.38194775581359863
fan/maillots-fan (266).jpeg,China,0.3537006080150604
fan/maillots-fan (267).jpeg,Willem II,0.3595769703388214
